City part,Street,Size (m²),Price,PSQMY,Lower,Number of rooms,Floor,Number of floors,Built year,Renovation years,Renovations,Construction type,Heating type,Refurbishment,Features,Extra areas,Extra stuff,Security,URL
Užupyje,Malūnų ,45,750,200.04,FALSE,2,1,2,2018,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, virtuvė sujungta su kambariu","Terasa, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-malunu-g-isnuomojamas-jaukus-ka-tik-irengtas-2k-butas-4-840951/
Naujamiestyje,P. Klimo ,21,350,200.04,FALSE,1,1,2,1940,0,FALSE,Mūrinis,Elektra,Įrengtas,"Atskiras įėjimas, aukštos lubos, nauja kanalizacija, uždaras kiemas","Sandėliukas, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė",,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-p-klimo-g-4-837423/
Senamiestyje,M. Daukšos ,45,750,200.04,FALSE,2,1,3,1940,0,FALSE,Mūrinis,Geoterminis,Įrengtas,"Aukštos lubos, kabelinė televizija, internetas, virtuvė sujungta su kambariu",,"Su baldais, skalbimo mašina","Kodinė laiptinės spyna, šarvuotos durys, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-m-dauksos-g-nuomojamas-2-kambario-butas-senamiestyje-4-833845/
Šnipiškėse,Daugėliškio ,18,300,200.04,FALSE,1,3,5,1970,0,FALSE,Mūrinis,Elektra,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-daugeliskio-g-erdvus-ir-sviesus-1-kambario-butas-snipiskese-4-822105/
Šnipiškėse,Olimpiečių ,120,2000,200.04,FALSE,4,3,4,2007,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,"Balkonas, pirtis, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė, dušo kabina, vonia",Signalizacija,http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-olimpieciu-g-apartamentai-su-vaizdu-i-upe-apartamentai-4-795103/
Senamiestyje,Gedimino p,20,330,198,FALSE,1,5,5,1950,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Atskiras įėjimas, aukštos lubos, butas palėpėje, internetas, kabelinė televizija",Vieta automobiliui,"Su baldais, šaldytuvas","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-nuomojami-apartamentai-gedimino-pr-galima-4-828111/
Užupyje,Polocko ,74.02,1200,194.52,FALSE,2,1,4,2016,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Uždaras kiemas, internetas, virtuvė sujungta su kambariu","Terasa, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, židinys, indaplovė","Šarvuotos durys, signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-polocko-g-jaukus-ir-stilingi-apartamentai-4-835583/
Senamiestyje,Rūdninkų ,86.73,1400,193.68,FALSE,4,2,3,1940,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-rudninku-g-isnuomojamas-nuostabus-sviesus-4-kambariu-4-828583/
Baltupiuose,Ateities ,10,160,192,FALSE,1,1,5,1984,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Tualetas ir vonia atskirai, internetas, kabelinė televizija",Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, vonia","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-ateities-g-isnuomojamas-tvarkingas-kambarys-triju-4-809455/
Žvėryne,Latvių ,50,799,191.76,TRUE,3,2,3,2011,0,FALSE,Mūrinis,Dujinis,Įrengtas,"Aukštos lubos, nauja elektros instaliacija, uždaras kiemas, internetas, virtuvė sujungta su kambariu","Balkonas, terasa, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, židinys, plastikiniai vamzdžiai, indaplovė, dušo kabina","Šarvuotos durys, signalizacija, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-latviu-g-isnuomojamas-labai-gerai-irengtas-unikaliame-4-680067/
Senamiestyje,A. Jakšto ,22,350,190.92,FALSE,1,0,3,1963,0,FALSE,Mūrinis,"Centrinis, elektra",Įrengtas,,,"Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė",,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-jaksto-g-nuo-rugpjucio-6d-isnuomojamas-nedidelis-4-837029/
Antakalnyje,Sporto ,38,600,189.48,FALSE,2,3,6,2016,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,Uždaras kiemas,Balkonas,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-sporto-g-modernus-nauji-dar-niekad-negyventi-4-829957/
Žirmūnuose,Sporto ,38,600,189.48,FALSE,2,3,6,2016,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,Uždaras kiemas,Balkonas,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-sporto-g-modernus-nauji-dar-niekad-negyventi-4-829955/
Senamiestyje,Klaipėdos ,106,1650,186.84,FALSE,3,2,3,2015,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-klaipedos-g-butas-gali-buti-skirtas-ilgalaikiai-4-840389/
Senamiestyje,Didžioji ,61,950,186.84,FALSE,2,2,4,2012,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-didzioji-g-isnuomojami-isskirtiniai-2-kambariu-61-kvm-4-833359/
Senamiestyje,Šv. Ignoto ,122,1900,186.84,FALSE,4,2,3,1940,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Internetas, kabelinė televizija, nauja kanalizacija, virtuvė sujungta su kambariu, tualetas ir vonia atskirai",Vieta automobiliui,"Su baldais, skalbimo mašina, virtuvės komplektas, viryklė, šaldytuvas, dušo kabina, židinys, vonia","Budintis sargas, videokameros, signalizacija, kodinė laiptinės spyna, šarvuotos durys",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-ignoto-g-prabangus-ir-isskirtinis-triju-miegamuju-4-831809/
Senamiestyje,Šv. Ignoto ,122,1900,186.84,FALSE,4,2,3,1940,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, tualetas ir vonia atskirai, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu",,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, židinys, indaplovė, dušo kabina, vonia","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-ignoto-g-isnuomoju-prabangius-apartamentus-senamiescio-4-810335/
